input	subject	subject_type	data/object	relation	object	object_type
第1章知识图谱概述陈华钧浙江大学，漆桂林东南大学，王昊奋乐言科技，王鑫天津大学1.1什么是知识图谱知识图谱是一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法[1]。	知识图谱	知识图谱	data	被定义为	一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法	描述
知识图谱由节点和边组成。	知识图谱	知识图谱	object	由组成	节点	知识表示
知识图谱由节点和边组成。	知识图谱	知识图谱	object	由组成	边	知识表示
节点可以是实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等。	节点	知识表示	data	内容	实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等	描述
节点可以是实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等。	节点	知识表示	object	包含	知识图谱	知识图谱
节点可以是实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等。	实体	知识表示	object	实例	节点	知识表示
节点可以是实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等。	知识图谱	知识图谱	object	实例	节点	知识表示
边可以是实体的属性，如姓名、书名，或是实体之间的关系，如朋友、配偶。	属性	知识表示	data	内容	姓名、书名	描述
边可以是实体的属性，如姓名、书名，或是实体之间的关系，如朋友、配偶。	关系	知识表示	data	内容	朋友、配偶	描述
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	Semantic_Web	语义搜索	data	英文名	语义网	语义搜索
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	万维网	链接	object	发展为	语义网	语义搜索
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	语义网	语义搜索	data	链接	实体链接	链接
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	语义网	语义搜索	object	前提	万维网	链接
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	知识图谱	知识图谱	object	实例	语义网	语义搜索
1989年，Tim_Berners-Lee提出构建一个全球化的以“链接”为中心的信息系统（LinkedInformation_System）。	链接	链接	data	链接	全球化的以“链接”为中心的信息系统（LinkedInformation_System）	信息系统
他认为，相比基于树的层次化组织方式，以链接为中心和基于图的组织方式更加适合互联网这种开放的系统。	基于图的组织方式	知识表示	data	方法	以链接为中心和基于图的组织方式更加适合互联网这种开放的系统	描述
网页之间的链接实际包含语义，即这些实体或概念之间的关系；然而，机器却无法有效地从网页中识别出其中蕴含的语义。	链接	链接	data	作用	包含语义，即这些实体或概念之间的关系	知识表示
网页之间的链接实际包含语义，即这些实体或概念之间的关系；然而，机器却无法有效地从网页中识别出其中蕴含的语义。	链接	链接	data	缺点	机器却无法有效地从网页中识别出其中蕴含的语义	描述
网页之间的链接实际包含语义，即这些实体或概念之间的关系；然而，机器却无法有效地从网页中识别出其中蕴含的语义。	语义	知识表示	data	内容	网页之间的链接实际包含语义	知识表示
他于1998年提出了Semantic_Web的概念[4]。	Semantic_Web	知识表示	data	英文名	Semantic_Web	字符串
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。	Semantic_Web	知识图谱	data	内容	基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）	描述
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。	Semantic_Web	知识图谱	data	英文名	Semantic_Web	字符串
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。	图中的节点	知识表示	data	内容	代表的不只是网页，而是客观世界中的实体（如人、机构、地点等）	描述
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。	超链接	链接	object	包含	语义描述	知识表示
Semantic_Web仍然基于图和链接的组织方式，只是图中的节点代表的不只是网页，而是客观世界中的实体（如人、机构、地点等），而超链接也被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）。	超链接	链接	data	作用	被增加了语义描述，具体标明实体之间的关系（如出生地是、创办人是等）	功能描述
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。	Semantic_Web	知识表示	data	被定义为	数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）	描述
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。	Semantic_Web	知识表示	data	英文名	Semantic_Web	字符串
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。	Semantic_Web	知识表示	object	等价	Web_of_Data	知识表示
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。	Semantic_Web	知识表示	object	等价	Web_of_Things	知识表示
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。	Web_of_Data	知识表示	data	英文名	Web_of_Data	字符串
相对于传统的网页互联网，Semantic_Web的本质是数据的互联网（Web_of_Data）或事物的互联网（Web_of_Things）。	Web_of_Things	知识表示	data	英文名	Web_of_Things	字符串
在Semantic_Web被提出之后，出现了一大批新兴的语义知识库。	Semantic_Web	知识表示	data	内容	被提出之后，出现了一大批新兴的语义知识库	描述
在Semantic_Web被提出之后，出现了一大批新兴的语义知识库。	Semantic_Web	知识表示	data	英文名	Semantic_Web	文本描述
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	谷歌知识图谱	知识图谱项目	object	包含	Freebase	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Amazon_Alexa	知识图谱项目	object	包含	True_Knowledge	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	苹果Siri	知识图谱项目	object	包含	Wolfram_Alpha	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Semantic_WebSchema	知识图谱项目	object	包含	Schema.ORG	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Semantic_WebSchema	知识图谱项目	data	英文名	Semantic_WebSchema	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	IBM_Waston	知识图谱项目	data	内容	DBpedia和Yago	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Wikidata	知识图谱项目	data	英文名	Wikidata	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Wikidata	知识图谱项目	data	目标	成为世界最大开放知识库	知识存储
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Wikidata	知识图谱项目	object	实例	开放知识库	知识存储
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Freebase	知识图谱项目	data	英文名	Freebase	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Freebase	知识图谱项目	object	实例	谷歌知识图谱	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	DBpedia	知识图谱项目	object	实例	IBM_Waston	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Yago	知识图谱项目	data	英文名	Yago	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Yago	知识图谱项目	object	实例	IBM_Waston	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	True_Knowledge	知识图谱项目	data	英文名	True_Knowledge	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	True_Knowledge	知识图谱项目	object	实现	Amazon_Alexa	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Wolfram_Alpha	知识图谱项目	data	英文名	Wolfram_Alpha	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Wolfram_Alpha	知识图谱项目	object	实现	苹果Siri	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Schema.ORG	知识图谱项目	data	英文名	Schema.ORG	知识图谱项目
如作为谷歌知识图谱后端的Freebase[5]，作为IBM_Waston后端的DBpedia[6]和Yago[7]，作为Amazon_Alexa后端的True_Knowledge，作为苹果Siri后端的Wolfram_Alpha，以及开放的Semantic_WebSchema——Schema.ORG[8]，目标成为世界最大开放知识库的Wikidata[9]等。	Schema.ORG	知识图谱项目	data	链接	Semantic_WebSchema	知识图谱项目
尤其值得一提的是，2010年谷歌收购了早期语义网公司MetaWeb，并以其开发的Freebase作为数据基础之一，于2012年正式推出了称为知识图谱的搜索引擎服务。	Freebase	知识图谱项目	object	实例	知识图谱	知识图谱
尤其值得一提的是，2010年谷歌收购了早期语义网公司MetaWeb，并以其开发的Freebase作为数据基础之一，于2012年正式推出了称为知识图谱的搜索引擎服务。	知识图谱	知识图谱	data	内容	搜索引擎服务	描述
