input	subject	subject_type	data/object	relation	object	object_type
第9章知识图谱应用案例王昊奋上海乐言信息科技有限公司，丁军华东理工大学知识图谱用以描述现实世界中的概念、实体以及它们之间丰富的关联关系。	知识图谱	知识图谱	data	被定义为	用以描述现实世界中的概念、实体以及它们之间丰富的关联关系	描述
第9章知识图谱应用案例王昊奋上海乐言信息科技有限公司，丁军华东理工大学知识图谱用以描述现实世界中的概念、实体以及它们之间丰富的关联关系。	知识图谱	知识图谱	object	包含	概念	知识表示
第9章知识图谱应用案例王昊奋上海乐言信息科技有限公司，丁军华东理工大学知识图谱用以描述现实世界中的概念、实体以及它们之间丰富的关联关系。	知识图谱	知识图谱	object	包含	实体	知识表示
第9章知识图谱应用案例王昊奋上海乐言信息科技有限公司，丁军华东理工大学知识图谱用以描述现实世界中的概念、实体以及它们之间丰富的关联关系。	知识图谱	知识图谱	object	包含	关联关系	知识表示
自从2012年谷歌公司利用知识图谱改善搜索体验并提高搜索质量后，引起了社会各界纷纷关注。	知识图谱	知识图谱	data	作用	改善搜索体验并提高搜索质量	语义搜索
通用知识图谱可以形象地看成一个面向通用领域的“结构化的百科知识库”，其中包含了现实世界中的大量常识，覆盖面极广。	通用知识图谱	知识图谱	data	被定义为	一个面向通用领域的“结构化的百科知识库”	知识表示
通用知识图谱可以形象地看成一个面向通用领域的“结构化的百科知识库”，其中包含了现实世界中的大量常识，覆盖面极广。	通用知识图谱	知识图谱	object	包含	现实世界中的大量常识	知识表示
通用知识图谱可以形象地看成一个面向通用领域的“结构化的百科知识库”，其中包含了现实世界中的大量常识，覆盖面极广。	通用知识图谱	知识图谱	data	特点	可以形象地看成一个面向通用领域的“结构化的百科知识库”，其中包含了现实世界中的大量常识，覆盖面极广	描述
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。	领域知识图谱	知识图谱	data	被定义为	行业知识图谱或垂直知识图谱，通常面向某一特定领域	描述
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。	领域知识图谱	知识图谱	object	等价	行业知识图谱	知识图谱
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。	领域知识图谱	知识图谱	object	等价	垂直知识图谱	知识图谱
领域知识图谱又称为行业知识图谱或垂直知识图谱，通常面向某一特定领域。	行业知识图谱	知识图谱	data	被定义为	领域知识图谱或垂直知识图谱，通常面向某一特定领域	描述
