input	subject	subject_type	data/object	relation	object	object_type
第1章知识图谱概述陈华钧浙江大学，漆桂林东南大学，王昊奋乐言科技，王鑫天津大学1.1什么是知识图谱知识图谱是一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法[1]。	知识图谱	知识图谱	data	被定义为	一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法	定义
第1章知识图谱概述陈华钧浙江大学，漆桂林东南大学，王昊奋乐言科技，王鑫天津大学1.1什么是知识图谱知识图谱是一种用图模型来描述知识和建模世界万物之间的关联关系的技术方法[1]。	关联关系	知识表示	data	内容	世界万物之间的关联关系	描述
知识图谱由节点和边组成。	知识图谱		object	内容_文本	由节点和边组成	
节点可以是实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等。	节点		data	被定义为	实体，如一个人、一本书等，或是抽象的概念，如人工智能、知识图谱等	
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	知识图谱		data	特点	早期理念来自Semantic_Web（语义网）	
知识图谱的早期理念来自Semantic_Web[2,3]（语义网），其最初理想是把基于文本链接的万维网转化成基于实体链接的语义网。	语义网		data	目标	把基于文本链接的万维网转化成基于实体链接的语义网	
1989年，Tim_Berners-Lee提出构建一个全球化的以“链接”为中心的信息系统（LinkedInformation_System）。	LinkedInformation_System		data	目标	构建一个全球化的以'链接'为中心的信息系统	
他认为，相比基于树的层次化组织方式，以链接为中心和基于图的组织方式更加适合互联网这种开放的系统。	以链接为中心的组织方式		data	特点	更加适合互联网这种开放的系统	
网页之间的链接实际包含语义，即这些实体或概念之间的关系；然而，机器却无法有效地从网页中识别出其中蕴含的语义。	链接		data	缺点	机器无法有效地从网页中识别出语义	
他于1998年提出了Semantic_Web的概念[4]。	Semantic_Web		object	实体_被定义为_文本	他于1998年提出了Semantic_Web的概念	
